Вакансия,Зарплата,Тип
Повар,40 000,Резюме
Водитель,Зарплата не ук,Резюме
Горничная в мини-отель,18 750,Вакансии
Домработница,15 000,Резюме
Продавец-кассир,28 000,Резюме
Водитель автомобиля кат.BCD,50 000,Резюме
Водитель такси на авто Компании,60 000,Вакансии
Водитель Такси,60 000,Вакансии
"Парикмахер универсал в студию красоты ""JOY""",25 000,Вакансии
Графический дизайнер/ Дизайнер вышивка,30 000,Резюме
"Водитель B,C,D",Зарплата не ук,Резюме
Требуется банкетный администратор,35 000,Вакансии
Подсобный рабочий рф,1 100,Вакансии
Техник,45 000,Резюме
Мужской парикмахер,Зарплата не ук,Вакансии
Строитель домов,Догов,Резюме
Экспедитор,35 000,Вакансии
Водитель вс,35 000,Резюме
Водитель такси VW Polo (м.Ленинский проспект) 1/1,60 000,Вакансии
Повар-мясник,33 000,Резюме
Парикмахер-универсал,Зарплата не ук,Вакансии
Грузчик-разнорабочий,30 000,Вакансии
Водитель-экспедитор (грузовая машина 4 - 5 м),60 000,Вакансии
Водитель,40 000,Вакансии
Каменщики,80 000,Вакансии
Менеджер по продажам,45 000,Вакансии
Детейлер - полировщик,80 000,Вакансии
Арматурщик (Сборка/Разборка авто),50 000,Вакансии
Мастер маникюра-педикюра,25 000,Вакансии
Повар-универсал,2 200,Вакансии
Охранник на вахту,35 000,Вакансии
Водитель такси. Выплаты ежедневно. Газ и бензин,80 000,Вакансии
Водитель погрузчика (Пр.Просвещения),39 000,Вакансии
Маляр,Зарплата не ук,Резюме
Требуется администратор,52 000,Вакансии
"Шашлычник, Мангальщик, Повар Мангала,Повар Универс",80 000,Резюме
Водитель такси на VW Polo,45 000,Вакансии
Водитель Такси. Плана нет. График 1/1. Поддержка,50 000,Вакансии
Водитель такси Kia Rio 2017,60 000,Вакансии
Водитель газели Д.Ш.В. 5.20х2.06х2.20,90 000,Резюме
Специалист офиса продаж,45 000,Вакансии
Тр-ся м. маникюра метро Прос-я Меж-я Граж-ка Зве-я,Зарплата не ук,Вакансии
Уборщица (м. Старая деревня),25 000,Вакансии
Парикмахер метро Просв-я Акад-я Междун-я Звездная,Зарплата не ук,Вакансии
Водитель такси,55 000,Вакансии
Техник,35,Резюме
Водитель-экспедитор,88 000,Вакансии
Удаленная работа,Зарплата не ук,Резюме
Фотограф,500,Резюме
Частичная занятость или свободный график,Зарплата не ук,Резюме
Ищу работу,Зарплата не ук,Резюме
Сантехнические работы,1 200,Резюме
Главный бухгалтер,5 000,Резюме
Продавец,30 000,Резюме
Главный бухгалтер,30 000,Резюме
Менеджер по продажам в мегафон,50 000,Вакансии
"Бухгалтер (вся отчетность, алкогольные декларации)",8 000,Резюме
"Демонтаж, монтаж",1 301,Резюме
"Репетитор по Математике, Русскому и др. Дисциплины",400,Резюме
