Вакансия,Зарплата,Тип
Грузчик,30 000,Резюме
Администратор,40 000,Резюме
Монтажник,70 000,Резюме
Ищу работа,25 000,Резюме
Офис менеджер,25 000,Резюме
"Разнорабочие, подсобники на почасовку",150,Вакансии
Водитель,з/п не ук,Резюме
"Инженер-теплотехник, теплоэнергетик",25 000,Резюме
Мойщица посуды в ночную смену,1 100,Резюме
"Ищу подработку электрика, мелкие работы по дому",з/п не ук,Резюме
Мерчандайзер,22 000,Резюме
Разнорабочий,1 500,Резюме
Кальянщик,з/п не ук,Резюме
Управляющий/Администратор Мойки,40 000,Резюме
"Бариста, продавец-консультант, бухгалтер, работа б",20 000,Резюме
Докер механизатор,з/п не ук,Резюме
Тренер-преподаватель по футболу для дошкольников,з/п не ук,Вакансии
Подсобные рабочие,29 700,Вакансии
Админ в солярий,16 000,Резюме
Маляр-художник,з/п не ук,Резюме
Бригада отделочников,80 000,Вакансии
Гл. бухгалтер на стажировку в бухгалтерскую фирму,13 000,Вакансии
Водитель на своем а/м,30 000,Резюме
"Художник, дизайнер",25 000,Резюме
Помощник бухгалтера,25 000,Резюме
Сварщик,з/п не ук,Резюме
Менеджер по продажам,25 000,Вакансии
Водитель штабелера / погрузчика,38 000,Вакансии
Фасовщица на кондитерскую фабрику,23 000,Вакансии
Рабочий по уходу за животными,15 000,Вакансии
"Администратор, мерчендайзер",25 000,Резюме
Машинист фронтального погрузчика,270,Вакансии
Электромонтаж,50 000,Резюме
Менеджер по продаже и подбору запчастей,30 000,Вакансии
Инженер строитель,з/п не ук,Резюме
Администратор,35 000,Резюме
Маркировка,800,Вакансии
"Администратор, секретарь",30 000,Резюме
Официантка,30 000,Резюме
Продавец-консультант,25 000,Резюме
Продавец консультант женской одежды,25 000,Вакансии
Воспитатель. нянечка,з/п не ук,Резюме
Помощник воспитателя,з/п не ук,Резюме
Воспитатель. учитель начальных классов,з/п не ук,Резюме
Учитель начальных классов воспитатель,з/п не ук,Резюме
Грузчик на пищевое производство,24 000,Вакансии
Мойщица в кулинарном отделе,21 000,Вакансии
Повар,40 000,Вакансии
Повар в частный детский сад на Васильевском,18 000,Вакансии
Ищу работу,30 000,Резюме
Администратор,25 000,Резюме
Пекарь-кондитер,25 000,Вакансии
Ищем работу,з/п не ук,Резюме
Ищу работу. любая,20 000,Резюме
Начальник пто,90 000,Резюме
Менеджер проекта в строительстве,з/п не ук,Резюме
Сторож с собакой,1 200,Вакансии
Универсал,з/п не ук,Резюме
"Официант в Арт-кафе ""Домовенок""",15 000,Вакансии
Ищу работу,з/п не ук,Резюме
"Официант в Арт-кафе ""Домовенок""",15 000,Вакансии
Ассистент-помощник,45 000,Резюме
Бухгалтер на стажировку в 1С 8.3,9 000,Вакансии
Рассмотрю разные варианты,з/п не ук,Резюме
Сантехники,з/п не ук,Резюме
Инженер-конструктор,25 000,Резюме
"Бармен, официант",30 000,Вакансии
Электромонтажник линейщик,40 000,Вакансии
Администратор,26 000,Резюме
Уборка квартир,з/п не ук,Резюме
"Бухгалтер, Помощник бухгалтера",25 000,Резюме
