Вакансия,Зарплата,Тип
"Мастер маникюра, педикюра",з/п не ук,Резюме
Продавец в магазин товаров для маникюра,35 000,Вакансии
Водитель,з/п не ук,Резюме
Водитель cо своим автомобилем,100 000,Вакансии
"Технологи, менеджеры по продажам, (Пушкин)",з/п не ук,Вакансии
Работник ресторана. аэропорт пулково 1,30 000,Вакансии
"Секретарь, помощник бухгалтера",30 000,Резюме
Менеджер-Администратор в школу маникюра,35 000,Вакансии
Менеджер по продаже готового бизнеса/Бизнес Брокер,70 000,Вакансии
Охранник грузчик водитель,35 000,Резюме
Специалист по аренде жилой недвижимости,35 000,Вакансии
Специалист по продажам недвижимости,120 000,Вакансии
Продавец-консультант (ст. м. Автово),25 000,Вакансии
Сварщик на стройку,72 800,Вакансии
Ищу работу,24 000,Резюме
Арматурщик,з/п не ук,Резюме
Любая,1 500,Резюме
Сварщик-слесарь,з/п не ук,Резюме
Ассистент стоматолога,40 000,Вакансии
Строитель,75 000,Вакансии
Ищем работу,100,Резюме
"Бармен в кинотеатр ""Формула кино""",18 000,Вакансии
Парикмахер-универсал,30 000,Вакансии
Хостес,30 000,Вакансии
Дизайнер,25 000,Резюме
Электрик техник,40 000,Резюме
Требуется водитель со своим грузовым автомобилем,70 000,Резюме
Подсобный рабочий,33 000,Вакансии
Рассмотрю все варианты,25 000,Резюме
Разнорабочие (монтаж-демонтаж кабелей),150,Вакансии
Продавец-консультант (ст. м. Старая деревня),25 000,Вакансии
Массажистка,2 000,Резюме
Учитель математики,35 000,Резюме
"Инженер-электронщик, Менеджер, Администратор",20 000,Резюме
Оператор в пневматический страйкбольный Тир,30 000,Вакансии
"Сметчик удаленно, тснб, Госэталон 2012, ло, ржд",з/п не ук,Резюме
Дизайнер-консультант,30 000,Резюме
Менеджер по продажам,з/п не ук,Вакансии
Повар. администратор,31 000,Резюме
Продавец-консультант (ст. м. Волковская),25 000,Вакансии
Экспедитор,40 000,Резюме
Дизайнер,25 000,Резюме
Администратор,40 000,Резюме
"Менеджер(рекрутер, офис, с клиентами, продажи)",25 000,Резюме
Водитель персональный,45 000,Резюме
Кладовщик-сборщик (Индустриальный проспект),34 600,Вакансии
Машинист телескопического погрузчика,250,Вакансии
Интимной работы не предлагайте,30 000,Резюме
"Модель, фотомодель",з/п не ук,Резюме
Штукатуры - ручная штукатурка,50 000,Вакансии
"Водитель кат. В, С",з/п не ук,Резюме
Авиакассир,30 000,Вакансии
Повар (Шеф) Универсал/ Кухня с раздачей,1 700,Резюме
Комплектовщик - вахта (Санкт-Петербург),53 000,Вакансии
"Водитель погрузчика ""В"", ""С""",35 000,Резюме
"Кладовщик, Помощник кладовщика, оператор пк",30 000,Резюме
Репетитор по английскому языку,500,Резюме
Мерчендайзер,25 000,Резюме
Администратор,35 000,Резюме
Кассир (ст. м. Волковская),24 500,Вакансии
Бригада монолитчиков,з/п не ук,Резюме
Требуется Механник,40 000,Вакансии
Бухгалтер на подработку,з/п не ук,Резюме
Мастер отделочник,2 000,Вакансии
Лучшие условия для работы водителей в такси,85 000,Вакансии
Водитель,60 000,Резюме
Няня,40 000,Резюме
Массажистка,2 000,Резюме
Наращивание ресниц,з/п не ук,Резюме
Водитель кат. Е,65 000,Вакансии
Продавец-консультант женской одежды,22 000,Вакансии
Кассир (Индустриальный проспект),24 500,Вакансии
Набор поваров,40 000,Вакансии
Менеджер в отдел снабжение,25 000,Резюме
"Машинист компрессора, дэс",50 000,Резюме
Промальп. Высотные работы,з/п не ук,Резюме
Администратор-кассир,23 000,Вакансии
Выездной компьютерный мастер,50 000,Вакансии
Мойщик,30 000,Вакансии
Мастер по ремонту квартир,80 000,Вакансии
"Монтажник связи, кабельщик - спайщик",35 000,Резюме
Ищу работу водителем,35 000,Резюме
Водитель,,Резюме
Уборщица машин (авто-мойщица),25 000,Вакансии
Освою любую должность спокойно,40 000,Резюме
Кузовщик-арматурщик в автосервис,70 000,Вакансии
Массажистка,2 000,Резюме
Кондитер,40 000,Вакансии
Менеджер корпоративных продаж,50 000,Вакансии
Ищу работу,з/п не ук,Резюме
Мастер по шиномонтажу,з/п не ук,Вакансии
"Водитель категории B, C",з/п не ук,Резюме
Мастер по ремонту кофемашин и кофеварок,40 000,Вакансии
Продавец-кассир,25 000,Вакансии
Повар холодного цеха,40 000,Вакансии
Горничная,34 000,Вакансии
Специалист регионального развития сро,35 000,Вакансии
Администратор торгового зала,45 000,Вакансии
Массажист,35 000,Резюме
Официанты,25 000,Вакансии
Ищу работу,35 000,Резюме
Продавец,25 000,Вакансии
Администратор рецепции,23 000,Резюме
Администратор тату студии,15 000,Вакансии
Помощник косметолога,35 000,Резюме
Ищу подработку с ежедневной оплатой,з/п не ук,Резюме
Требуется электромонтажник,35 000,Вакансии
Повар горячего цеха,40 000,Вакансии
Специалист/Менеджер,45 000,Резюме
Администратор салона красоты,з/п не ук,Резюме
Бригада Мастеров Плотников Ищем работу,з/п не ук,Резюме
Повар линии раздачи,24 000,Вакансии
Массажистка,2 000,Резюме
Тренер тренажерного зала,50 000,Вакансии
Кассир (п. Ольгино),24 500,Вакансии
Контент-менеджер / Oператор пк,25 000,Резюме
Менеджер по закупкам,50 000,Резюме
Ищу работу,1 000,Резюме
"Личный водитель, семейный водитель",50 000,Резюме
Главный бухгалтер Ленинскии проспект,10 000,Резюме
"Секретарь, администратор, оператор",27 000,Резюме
Прораб(производитель общестроительных работ),40 000,Вакансии
Повар - универсал,35 100,Вакансии
Подъем и спуск грузов,з/п не ук,Резюме
Пекарь-продавец,25 000,Вакансии
Курьер в интернет-магазин обуви,30 000,Вакансии
В бригаду требуются отделочники,70 000,Вакансии
Укладчица,39 600,Вакансии
Секретарь - помощник руководителя,85 000,Вакансии
Оператор производственной линии,40 000,Вакансии
Ищу водителя кат. Е,55 000,Вакансии
Ищу работу с ежедневной оплатой,з/п не ук,Резюме
Продавец гастрономического отдела,40 000,Вакансии
Агент по недвижимости,45 000,Вакансии
Продавец одежды и обуви,50 000,Вакансии
Начальник технического отдела,з/п не ук,Вакансии
Главный бухгалтер по Дог. бухг. услуг с ип,5 000,Резюме
"Работа после 8 вечера, Без опыта",1 500,Вакансии
Расклейщики обьявлений,24 000,Вакансии
"Помощник, ученик, продавец, слесарь, автомеханик",25 000,Резюме
"Системный администратор, водитель по поручениям",35 000,Резюме
Массажистка (мастер массажа),1 600,Резюме
Ведущий специалист,38 000,Резюме
Тендеры,з/п не ук,Резюме
Копирайтер,30 000,Резюме
"Специалист по работе с клиентами, администратор",25 000,Резюме
"Главный бухгалтер, осн, усн",40 000,Резюме
Требуются трактористы,30 000,Вакансии
Водитель со своим микроавтобусом 18 мест,500,Резюме
Массажистка,з/п не ук,Резюме
Водитель категории Е,з/п не ук,Вакансии
Чертёжник 3D в SolidWorks или Kompas,30 000,Вакансии
Ищу работу с проживанием на обекте,з/п не ук,Резюме
Массажистка,1 000,Резюме
Специалист по хозяйственной части,25 000,Вакансии
Работа,з/п не ук,Резюме
Водитель кат. B C,30 000,Резюме
Массажистка,з/п не ук,Резюме
Разнорабочие / Подсобные рабочие / Дворники,з/п не ук,Вакансии
Разнорабочий деньги каждый день,1 200,Вакансии
Продавец в магазин обуви,40 000,Вакансии
Продавцы шаров. Ежедневные выплаты,1 000,Вакансии
Парикмахер-уневирсал,з/п не ук,Резюме
Бухгалтер,з/п не ук,Резюме
Ищу работу в вечернее время,1 000,Резюме
Водитель кат. в,50 000,Резюме
Архитектор,40 000,Резюме
Мастер маникюра и педикюра,з/п не ук,Резюме
Массажистка,з/п не ук,Резюме
Кладовщик-сборщик (ст. м. Волковская),34 600,Вакансии
Массажистка,з/п не ук,Резюме
Массажистка,2 000,Резюме
Продавец-кассир ресторана KFC Пулково,17 000,Вакансии
"PR-менеджер, менеджер по продажам",з/п не ук,Резюме
Грузчик,з/п не ук,Резюме
